rank,word,frequency,zipf
326,black,0.000288,5.46
327,d,0.000288,5.46
328,following,0.000288,5.46
329,law,0.000288,5.46
330,makes,0.000288,5.46
331,together,0.000288,5.46
332,war,0.000288,5.46
333,whole,0.000288,5.46
334,car,0.000282,5.45
335,face,0.000282,5.45
336,five,0.000282,5.45
337,kind,0.000282,5.45
338,maybe,0.000282,5.45
339,per,0.000282,5.45
340,president,0.000282,5.45
341,story,0.000282,5.45
342,working,0.000282,5.45
343,course,0.000275,5.44
344,games,0.000275,5.44
345,health,0.000275,5.44
346,hope,0.000275,5.44
347,important,0.000275,5.44
348,least,0.000275,5.44
349,means,0.000275,5.44
350,news,0.000275,5.44
351,within,0.000275,5.44
352,able,0.000269,5.43
353,book,0.000269,5.43
354,early,0.000269,5.43
355,friends,0.000269,5.43
356,i'll,0.000269,5.43
357,information,0.000269,5.43
358,local,0.000269,5.43
359,oh,0.000269,5.43
360,post,0.000269,5.43
361,t,0.000269,5.43
362,thanks,0.000269,5.43
363,video,0.000269,5.43
364,young,0.000269,5.43
365,ago,0.000263,5.42
366,others,0.000263,5.42
367,social,0.000263,5.42
368,talk,0.000263,5.42
369,9,0.000257,5.41
370,court,0.000257,5.41
371,fact,0.000257,5.41
372,given,0.000257,5.41
373,guys,0.000257,5.41
374,half,0.000257,5.41
375,hand,0.000257,5.41
376,isn't,0.000257,5.41
377,level,0.000257,5.41
378,mind,0.000257,5.41
379,often,0.000257,5.41
380,single,0.000257,5.41
381,become,0.000251,5.4
382,body,0.000251,5.4
383,coming,0.000251,5.4
384,control,0.000251,5.4
385,death,0.000251,5.4
386,food,0.000251,5.4
387,guy,0.000251,5.4
388,hours,0.000251,5.4
389,office,0.000251,5.4
390,pay,0.000251,5.4
391,problem,0.000251,5.4
392,south,0.000251,5.4
393,true,0.000251,5.4
394,we're,0.000251,5.4
395,almost,0.000245,5.39
396,fuck,0.000245,5.39
397,history,0.000245,5.39
398,known,0.000245,5.39
399,large,0.000245,5.39
400,lost,0.000245,5.39
401,m,0.000245,5.39
402,research,0.000245,5.39
403,room,0.000245,5.39
404,several,0.000245,5.39
405,started,0.000245,5.39
406,taking,0.000245,5.39
407,university,0.000245,5.39
408,win,0.000245,5.39
409,wrong,0.000245,5.39
410,along,0.00024,5.38
411,anyone,0.00024,5.38
412,else,0.00024,5.38
413,girl,0.00024,5.38
414,john,0.00024,5.38
415,matter,0.00024,5.38
416,pretty,0.00024,5.38
417,remember,0.00024,5.38
418,air,0.000234,5.37
419,bit,0.000234,5.37
420,friend,0.000234,5.37
421,hit,0.000234,5.37
422,needs,0.000234,5.37
423,nice,0.000234,5.37
424,playing,0.000234,5.37
425,probably,0.000234,5.37
426,saying,0.000234,5.37
427,understand,0.000234,5.37
428,yeah,0.000234,5.37
429,york,0.000234,5.37
430,class,0.000229,5.36
431,close,0.000229,5.36
432,comes,0.000229,5.36
433,i'd,0.000229,5.36
434,idea,0.000229,5.36
435,international,0.000229,5.36
436,looks,0.000229,5.36
437,past,0.000229,5.36
438,possible,0.000229,5.36
439,wanted,0.000229,5.36
440,b,0.000224,5.35
441,cause,0.000224,5.35
442,due,0.000224,5.35
443,happy,0.000224,5.35
444,human,0.000224,5.35
445,members,0.000224,5.35
446,months,0.000224,5.35
447,move,0.000224,5.35
448,question,0.000224,5.35
449,r,0.000224,5.35
450,series,0.000224,5.35
451,wait,0.000224,5.35
452,woman,0.000224,5.35
453,ask,0.000219,5.34
454,community,0.000219,5.34
455,data,0.000219,5.34
456,late,0.000219,5.34
457,leave,0.000219,5.34
458,north,0.000219,5.34
459,saw,0.000219,5.34
460,special,0.000219,5.34
461,watch,0.000219,5.34
462,won't,0.000219,5.34
463,c,0.000214,5.33
464,either,0.000214,5.33
465,fucking,0.000214,5.33
466,future,0.000214,5.33
467,light,0.000214,5.33
468,low,0.000214,5.33
469,million,0.000214,5.33
470,morning,0.000214,5.33
471,police,0.000214,5.33
472,short,0.000214,5.33
473,stay,0.000214,5.33
474,taken,0.000214,5.33
475,age,0.000209,5.32
476,buy,0.000209,5.32
477,deal,0.000209,5.32
478,rather,0.000209,5.32
479,reason,0.000209,5.32
480,red,0.000209,5.32
481,report,0.000209,5.32
482,soon,0.000209,5.32
483,third,0.000209,5.32
484,turn,0.000209,5.32
485,whether,0.000209,5.32
486,among,0.000204,5.31
487,check,0.000204,5.31
488,development,0.000204,5.31
489,form,0.000204,5.31
490,further,0.000204,5.31
491,heart,0.000204,5.31
492,minutes,0.000204,5.31
493,myself,0.000204,5.31
494,services,0.000204,5.31
495,u.s,0.000204,5.31
496,yourself,0.000204,5.31
497,act,0.0002,5.3
498,although,0.0002,5.3
499,asked,0.0002,5.3
500,child,0.0002,5.3
501,fire,0.0002,5.3
502,fun,0.0002,5.3
503,living,0.0002,5.3
504,major,0.0002,5.3
505,media,0.0002,5.3
506,phone,0.0002,5.3
507,players,0.0002,5.3
508,art,0.000195,5.29
509,behind,0.000195,5.29
510,building,0.000195,5.29
511,easy,0.000195,5.29
512,gonna,0.000195,5.29
513,market,0.000195,5.29
514,near,0.000195,5.29
515,non,0.000195,5.29
516,plan,0.000195,5.29
517,political,0.000195,5.29
518,quite,0.000195,5.29
519,six,0.000195,5.29
520,talking,0.000195,5.29
521,west,0.000195,5.29
522,works,0.000195,5.29
523,according,0.000191,5.28
524,available,0.000191,5.28
525,e,0.000191,5.28
526,education,0.000191,5.28
527,final,0.000191,5.28
528,former,0.000191,5.28
529,front,0.000191,5.28
530,kids,0.000191,5.28
531,list,0.000191,5.28
532,ready,0.000191,5.28
533,sometimes,0.000191,5.28
534,son,0.000191,5.28
535,street,0.000191,5.28
536,wasn't,0.000191,5.28
537,bring,0.000186,5.27
538,college,0.000186,5.27
539,current,0.000186,5.27
540,example,0.000186,5.27
541,experience,0.000186,5.27
542,heard,0.000186,5.27
543,london,0.000186,5.27
544,meet,0.000186,5.27
545,program,0.000186,5.27
546,type,0.000186,5.27
547,baby,0.000182,5.26
548,chance,0.000182,5.26
549,father,0.000182,5.26
550,march,0.000182,5.26
551,process,0.000182,5.26
552,she's,0.000182,5.26
553,song,0.000182,5.26
554,study,0.000182,5.26
555,word,0.000182,5.26
556,across,0.000178,5.25
557,action,0.000178,5.25
558,clear,0.000178,5.25
559,gave,0.000178,5.25
560,gets,0.000178,5.25
561,himself,0.000178,5.25
562,month,0.000178,5.25
563,outside,0.000178,5.25
564,self,0.000178,5.25
565,students,0.000178,5.25
566,words,0.000178,5.25
567,board,0.000174,5.24
568,cost,0.000174,5.24
569,cut,0.000174,5.24
570,dr,0.000174,5.24
571,field,0.000174,5.24
572,held,0.000174,5.24
573,instead,0.000174,5.24
574,main,0.000174,5.24
575,moment,0.000174,5.24
576,mother,0.000174,5.24
577,road,0.000174,5.24
578,seems,0.000174,5.24
579,thinking,0.000174,5.24
580,town,0.000174,5.24
581,wants,0.000174,5.24
582,de,0.00017,5.23
583,department,0.00017,5.23
584,energy,0.00017,5.23
585,fight,0.00017,5.23
586,fine,0.00017,5.23
587,force,0.00017,5.23
588,hear,0.00017,5.23
589,issue,0.00017,5.23
590,played,0.00017,5.23
591,points,0.00017,5.23
592,price,0.00017,5.23
593,re,0.00017,5.23
594,rest,0.00017,5.23
595,results,0.00017,5.23
596,running,0.00017,5.23
597,shows,0.00017,5.23
598,space,0.00017,5.23
599,summer,0.00017,5.23
600,term,0.00017,5.23
601,wife,0.00017,5.23
602,0,0.000166,5.22
603,america,0.000166,5.22
604,beautiful,0.000166,5.22
605,date,0.000166,5.22
606,goes,0.000166,5.22
607,killed,0.000166,5.22
608,land,0.000166,5.22
609,miss,0.000166,5.22
610,project,0.000166,5.22
611,sex,0.000166,5.22
612,shot,0.000166,5.22
613,site,0.000166,5.22
614,strong,0.000166,5.22
615,you'll,0.000166,5.22
616,account,0.000162,5.21
617,co,0.000162,5.21
618,especially,0.000162,5.21
619,eyes,0.000162,5.21
620,include,0.000162,5.21
621,june,0.000162,5.21
622,parents,0.000162,5.21
623,period,0.000162,5.21
624,position,0.000162,5.21
625,record,0.000162,5.21
626,similar,0.000162,5.21
627,total,0.000162,5.21
628,w,0.000162,5.21
629,above,0.000158,5.2
630,club,0.000158,5.2
631,common,0.000158,5.2
632,died,0.000158,5.2
633,film,0.000158,5.2
634,happened,0.000158,5.2
635,knew,0.000158,5.2
636,lead,0.000158,5.2
637,likely,0.000158,5.2
638,military,0.000158,5.2
639,perfect,0.000158,5.2
640,personal,0.000158,5.2
641,security,0.000158,5.2
642,share,0.000158,5.2
643,st,0.000158,5.2
644,tv,0.000158,5.2
645,what's,0.000158,5.2
646,won,0.000158,5.2
647,x,0.000158,5.2
648,april,0.000155,5.19
649,center,0.000155,5.19
650,county,0.000155,5.19
651,couple,0.000155,5.19
652,dead,0.000155,5.19
653,english,0.000155,5.19
654,happen,0.000155,5.19
655,hold,0.000155,5.19
656,industry,0.000155,5.19
657,inside,0.000155,5.19
658,issues,0.000155,5.19
659,online,0.000155,5.19
660,player,0.000155,5.19
661,private,0.000155,5.19
662,problems,0.000155,5.19
663,return,0.000155,5.19
664,rights,0.000155,5.19
665,sense,0.000155,5.19
666,star,0.000155,5.19
667,test,0.000155,5.19
668,view,0.000155,5.19
669,weeks,0.000155,5.19
670,break,0.000151,5.18
671,british,0.000151,5.18
672,companies,0.000151,5.18
673,event,0.000151,5.18
674,higher,0.000151,5.18
675,hour,0.000151,5.18
676,l,0.000151,5.18
677,member,0.000151,5.18
678,middle,0.000151,5.18
679,needed,0.000151,5.18
680,present,0.000151,5.18
681,result,0.000151,5.18
682,sorry,0.000151,5.18
683,takes,0.000151,5.18
684,training,0.000151,5.18
685,wish,0.000151,5.18
686,wouldn't,0.000151,5.18
687,answer,0.000148,5.17
688,boy,0.000148,5.17
689,design,0.000148,5.17
690,finally,0.000148,5.17
691,girls,0.000148,5.17
692,gold,0.000148,5.17
693,gone,0.000148,5.17
694,guess,0.000148,5.17
695,interest,0.000148,5.17
696,july,0.000148,5.17
697,king,0.000148,5.17
698,learn,0.000148,5.17
699,policy,0.000148,5.17
700,society,0.000148,5.17
701,added,0.000145,5.16
702,al,0.000145,5.16
703,alone,0.000145,5.16
704,average,0.000145,5.16
705,bank,0.000145,5.16
706,brought,0.000145,5.16
707,certain,0.000145,5.16
708,church,0.000145,5.16
709,east,0.000145,5.16
710,hands,0.000145,5.16
711,hot,0.000145,5.16
712,let's,0.000145,5.16
713,longer,0.000145,5.16
714,medical,0.000145,5.16
715,movie,0.000145,5.16
716,original,0.000145,5.16
717,park,0.000145,5.16
718,performance,0.000145,5.16
719,press,0.000145,5.16
720,received,0.000145,5.16
721,role,0.000145,5.16
722,sent,0.000145,5.16
723,themselves,0.000145,5.16
724,tried,0.000145,5.16
725,worked,0.000145,5.16
726,worth,0.000145,5.16
727,areas,0.000141,5.15
728,became,0.000141,5.15
729,bill,0.000141,5.15
730,books,0.000141,5.15
731,cool,0.000141,5.15
732,director,0.000141,5.15
733,exactly,0.000141,5.15
734,giving,0.000141,5.15
735,ground,0.000141,5.15
736,meeting,0.000141,5.15
737,n,0.000141,5.15
738,provide,0.000141,5.15
739,questions,0.000141,5.15
740,relationship,0.000141,5.15
741,september,0.000141,5.15
742,sound,0.000141,5.15
743,source,0.000141,5.15
744,usually,0.000141,5.15
745,value,0.000141,5.15
746,evidence,0.000138,5.14
747,follow,0.000138,5.14
748,lives,0.000138,5.14
749,official,0.000138,5.14
750,ok,0.000138,5.14
751,production,0.000138,5.14
752,rate,0.000138,5.14
753,reading,0.000138,5.14
754,round,0.000138,5.14
755,save,0.000138,5.14
756,stand,0.000138,5.14
757,stuff,0.000138,5.14
758,tax,0.000138,5.14
759,whatever,0.000138,5.14
760,amount,0.000135,5.13
761,blue,0.000135,5.13
762,countries,0.000135,5.13
763,david,0.000135,5.13
764,drive,0.000135,5.13
765,eat,0.000135,5.13
766,fall,0.000135,5.13
767,fast,0.000135,5.13
768,federal,0.000135,5.13
769,feeling,0.000135,5.13
