learning_rank,word,wf_rank,wf_pct,wf_zipf,sub_rank,sub_pct,sub_zipf,ox_cefr,ox_pos,learning_score
5023,felix,9044,0.01,3.84,4099,0.03,4.14,,,0.018844
5024,wendy,9128,0.01,3.84,4038,0.03,4.14,,,0.018844
5025,ending,2108,0.09,4.68,3061,0.04,4.3,A2,noun,0.018849
5026,exercise,2109,0.09,4.68,3034,0.05,4.3,A1,"noun, verb",0.018849
5027,hurts,4309,0.04,4.3,1562,0.11,4.68,,,0.018849
5028,signals,4487,0.04,4.28,5500,0.02,3.96,,,0.018852
5029,thompson,4497,0.04,4.28,5478,0.02,3.96,,,0.018852
5030,robinson,5078,0.03,4.21,6062,0.02,3.9,,,0.018853
5031,swiss,5090,0.03,4.21,6084,0.02,3.9,,,0.018853
5032,johnny,3954,0.04,4.35,1386,0.12,4.74,,,0.01888
5033,posters,7263,0.02,3.99,8099,0.01,3.71,,,0.01889
5034,mom,789,0.25,5.12,252,1.06,5.67,A1,noun,0.018896
5035,genetic,4020,0.04,4.34,5089,0.02,4.01,B1,adjective,0.018932
5036,confirmed,2149,0.09,4.67,3092,0.04,4.29,,,0.018933
5037,jobs,1122,0.18,4.98,1962,0.08,4.55,,,0.018938
5038,vodka,9273,0.01,3.83,4136,0.03,4.13,,,0.018939
5039,corps,4517,0.03,4.27,5616,0.02,3.95,,,0.018944
5040,attract,5099,0.03,4.2,6147,0.02,3.89,B1,verb,0.018946
5041,headlines,8153,0.02,3.91,8978,0.01,3.64,,,0.018947
5042,plaza,8186,0.02,3.91,9015,0.01,3.64,,,0.018947
5043,technique,3199,0.05,4.47,4243,0.03,4.12,B1,noun,0.018973
5044,holds,2488,0.07,4.6,3456,0.04,4.23,,,0.018982
5045,chef,4835,0.03,4.23,1795,0.09,4.6,A2,noun,0.018982
5046,travelled,7405,0.02,3.98,8278,0.01,3.7,,,0.018989
5047,rope,6517,0.02,4.06,2592,0.06,4.4,A2,noun,0.019002
5048,sam,2313,0.08,4.64,701,0.28,5.09,,,0.019013
5049,hide,2794,0.06,4.54,896,0.21,4.97,A1,verb,0.019018
5050,surgical,6632,0.02,4.05,7559,0.01,3.76,,,0.019018
5051,defending,4075,0.04,4.33,5169,0.02,4.0,,,0.019023
5052,causing,2823,0.06,4.53,3824,0.03,4.17,,,0.019025
5053,drawn,2829,0.06,4.53,3875,0.03,4.17,,,0.019025
5054,motor,2844,0.06,4.53,3879,0.03,4.17,B1,noun,0.019025
5055,raw,2853,0.06,4.53,3851,0.03,4.17,A2,adjective,0.019025
5056,deadline,5871,0.02,4.12,6940,0.01,3.82,B1,noun,0.019034
5057,niece,9371,0.01,3.82,4205,0.03,4.12,B1,noun,0.019034
5058,mutual,4616,0.03,4.26,5684,0.02,3.94,B1,adjective,0.019036
5059,motive,7817,0.02,3.94,3270,0.04,4.26,B1,noun,0.019036
5060,poster,5247,0.03,4.19,6285,0.02,3.88,A1,noun,0.01904
5061,tobacco,5276,0.03,4.19,6330,0.02,3.88,B1,noun,0.01904
5062,dinner,1716,0.11,4.78,547,0.41,5.26,A1,noun,0.019047
5063,decisions,1933,0.1,4.72,2862,0.05,4.33,,,0.019047
5064,entered,1936,0.1,4.72,2882,0.05,4.33,,,0.019047
5065,witch,6019,0.02,4.11,2299,0.07,4.46,,,0.019062
5066,staff,888,0.22,5.08,1707,0.1,4.63,A2,noun,0.019091
5067,worried,2376,0.08,4.63,710,0.27,5.08,A2,adjective,0.019091
5068,assigned,3667,0.05,4.39,4742,0.03,4.05,,,0.019092
5069,aids,4649,0.03,4.25,5806,0.02,3.93,,,0.019129
5070,monk,7944,0.02,3.93,3343,0.04,4.25,B1,noun,0.019129
5071,jill,9489,0.01,3.81,4321,0.03,4.11,,,0.019131
5072,mix,2003,0.1,4.71,2964,0.05,4.32,A2,"noun, verb",0.019132
5073,rival,5355,0.03,4.18,6400,0.02,3.87,B2,noun,0.019135
5074,crews,8405,0.01,3.89,9277,0.01,3.62,,,0.019149
5075,dangers,8408,0.01,3.89,9243,0.01,3.62,,,0.019149
5076,jesse,6701,0.02,4.04,2659,0.05,4.38,,,0.019183
5077,determined,2289,0.08,4.64,3249,0.04,4.26,B2,adjective,0.019189
5078,soup,5629,0.03,4.15,2090,0.07,4.51,A1,noun,0.019201
5079,isolated,4767,0.03,4.24,5881,0.02,3.92,,,0.019223
5080,yay,8108,0.02,3.92,3369,0.04,4.24,,,0.019223
5081,magnetic,5437,0.03,4.17,6511,0.02,3.86,,,0.019231
5082,asleep,3860,0.04,4.36,1329,0.13,4.76,A2,adjective,0.019237
5083,arrival,3347,0.05,4.44,4483,0.03,4.09,B1,noun,0.019241
5084,julie,6156,0.02,4.09,2399,0.06,4.44,,,0.019241
5085,parent,2636,0.07,4.57,3655,0.04,4.2,A1,noun,0.019243
5086,estate,1595,0.12,4.82,2523,0.06,4.41,B2,noun,0.01925
5087,fashion,1598,0.12,4.82,2550,0.06,4.41,A2,noun,0.01925
5088,physical,1231,0.16,4.94,2113,0.07,4.51,A2,adjective,0.01926
5089,south,392,0.47,5.4,1030,0.17,4.89,A2,"adjective, adverb, noun",0.019266
5090,genuine,3811,0.04,4.37,4934,0.02,4.03,B2,adjective,0.019274
5091,lonely,4688,0.03,4.25,1680,0.1,4.63,A1,adjective,0.019276
5092,factories,7688,0.02,3.95,8629,0.01,3.67,,,0.019289
5093,inner,3003,0.06,4.5,4061,0.03,4.14,A2,adjective,0.01929
5094,awake,5658,0.03,4.14,2147,0.07,4.5,A1,adjective,0.01929
5095,grandmother,5686,0.03,4.14,2152,0.07,4.5,A1,noun,0.01929
5096,guide,1829,0.1,4.75,2773,0.05,4.35,B1,"noun, verb",0.019321
5097,approached,5475,0.03,4.16,6662,0.02,3.85,,,0.019327
5098,dump,6233,0.02,4.08,2445,0.06,4.43,B1,"noun, verb",0.019332
5099,authority,1625,0.12,4.81,2580,0.06,4.4,B1,noun,0.019334
5100,illegally,8679,0.01,3.87,9584,0.01,3.6,B1,adverb,0.019355
5101,virginia,2419,0.08,4.62,3393,0.04,4.24,,,0.019363
5102,meets,3893,0.04,4.36,4982,0.02,4.02,,,0.019366
5103,residence,3904,0.04,4.36,4963,0.02,4.02,B2,noun,0.019366
5104,carol,6879,0.02,4.02,2741,0.05,4.36,,,0.019366
5105,miracle,5813,0.03,4.13,2189,0.07,4.49,B1,noun,0.01938
5106,dialogue,4367,0.04,4.29,5466,0.02,3.96,,,0.019394
5107,se,4410,0.04,4.29,5474,0.02,3.96,,,0.019394
5108,service,311,0.58,5.49,910,0.21,4.96,B1,"noun, verb",0.019413
5109,integrity,4956,0.03,4.22,6132,0.02,3.9,,,0.019413
5110,apartments,6985,0.02,4.01,8076,0.01,3.72,,,0.019413
5111,harassment,7016,0.02,4.01,8022,0.01,3.72,,,0.019413
5112,matched,7029,0.02,4.01,8003,0.01,3.72,,,0.019413
5113,specially,7064,0.02,4.01,7994,0.01,3.72,B1,adverb,0.019413
5114,cheated,8256,0.01,3.9,3492,0.04,4.22,,,0.019413
5115,figured,3691,0.05,4.39,1243,0.14,4.8,,,0.019418
5116,silly,3727,0.05,4.39,1238,0.14,4.8,A2,adjective,0.019418
5117,resistance,2756,0.07,4.55,3732,0.03,4.18,B2,noun,0.019419
5118,forces,1120,0.18,4.98,2022,0.08,4.54,,,0.01942
5119,curse,6351,0.02,4.07,2515,0.06,4.42,A2,noun,0.019423
5120,agrees,6205,0.02,4.08,7393,0.01,3.78,,,0.019424
5121,dorothy,9878,0.01,3.78,4506,0.03,4.08,,,0.019424
5122,shoot,1917,0.1,4.73,584,0.37,5.21,A2,verb,0.019432
5123,luxury,3959,0.04,4.35,5055,0.02,4.01,B1,"adjective, noun",0.019459
5124,legion,8812,0.01,3.86,9759,0.01,3.59,,,0.019459
5125,tested,3144,0.06,4.48,4172,0.03,4.12,,,0.01947
5126,nuclear,1911,0.1,4.73,2878,0.05,4.33,B1,adjective,0.019492
5127,reaction,1915,0.1,4.73,2888,0.05,4.33,B2,noun,0.019492
5128,literally,1311,0.15,4.91,2219,0.07,4.48,B2,adverb,0.019507
5129,du,5030,0.03,4.21,6210,0.02,3.89,,,0.019509
5130,forcing,5041,0.03,4.21,6221,0.02,3.89,,,0.019509
5131,identical,5053,0.03,4.21,6181,0.02,3.89,B2,adjective,0.019509
5132,manners,9209,0.01,3.83,4051,0.03,4.14,,,0.019521
5133,extreme,2483,0.07,4.6,3499,0.04,4.22,B1,adjective,0.019539
5134,dig,4940,0.03,4.22,1797,0.09,4.6,B1,"noun, verb",0.019539
5135,tonight,1007,0.2,5.03,310,0.86,5.58,A2,"adverb, noun",0.019543
5136,absence,3996,0.04,4.34,5114,0.02,4.0,B1,noun,0.019553
5137,blues,4002,0.04,4.34,5193,0.02,4.0,,,0.019553
5138,roots,4047,0.04,4.34,5187,0.02,4.0,,,0.019553
5139,century,1011,0.2,5.02,1880,0.08,4.57,A2,noun,0.019572
5140,directly,1330,0.15,4.9,2280,0.07,4.47,B1,adverb,0.019591
5141,germany,1341,0.15,4.9,2289,0.07,4.47,,,0.019591
5142,nervous,3513,0.05,4.42,1125,0.16,4.84,A2,adjective,0.019592
5143,ultimate,2869,0.06,4.53,3936,0.03,4.16,B2,adjective,0.019598
5144,yoga,5181,0.03,4.2,6335,0.02,3.88,B1,noun,0.019606
5145,denial,7216,0.02,3.99,8281,0.01,3.7,,,0.019616
5146,main,574,0.32,5.24,1372,0.13,4.75,B1,adjective,0.019639
5147,expenses,4083,0.04,4.33,5238,0.02,3.99,,,0.019647
5148,donald,3225,0.05,4.46,4358,0.03,4.1,,,0.019652
5149,hell,828,0.23,5.1,253,1.06,5.67,B2,noun,0.019656
5150,steel,2016,0.1,4.71,3008,0.05,4.31,B1,noun,0.019666
5151,previously,1572,0.13,4.83,2554,0.06,4.41,B2,adverb,0.019677
5152,pursue,4624,0.03,4.26,5793,0.02,3.93,A2,verb,0.019679
5153,battery,2877,0.06,4.52,3961,0.03,4.15,A2,noun,0.019689
5154,narrow,3707,0.05,4.39,4883,0.02,4.04,B1,adjective,0.0197
5155,liberation,8166,0.02,3.91,9223,0.01,3.63,B1,noun,0.0197
5156,alley,8634,0.01,3.87,3668,0.04,4.19,,,0.019703
5157,success,935,0.21,5.06,1781,0.09,4.6,A2,noun,0.019718
5158,absent,7307,0.02,3.98,8389,0.01,3.69,B1,adjective,0.019718
5159,pilots,5899,0.02,4.12,6988,0.01,3.81,,,0.019719
5160,alter,6540,0.02,4.05,7659,0.01,3.75,B2,verb,0.019724
5161,particular,1092,0.19,5.0,1986,0.08,4.55,B2,adjective,0.019736
5162,kitty,7356,0.02,3.98,2947,0.05,4.32,,,0.019742
5163,karen,6157,0.02,4.09,2367,0.06,4.45,,,0.019745
5164,lend,8057,0.02,3.92,3335,0.04,4.25,A2,verb,0.019776
5165,come,161,1.12,5.78,51,7.66,6.53,A1,verb,0.019797
5166,codes,5307,0.03,4.18,6492,0.02,3.86,,,0.019801
5167,aggression,8233,0.01,3.9,9330,0.01,3.62,,,0.019805
5168,diet,2622,0.07,4.57,3680,0.04,4.19,A2,noun,0.019808
5169,attraction,5937,0.02,4.11,7127,0.01,3.8,B1,noun,0.019818
5170,positive,1109,0.18,4.99,2017,0.08,4.54,B1,adjective,0.019819
5171,tactical,7508,0.02,3.97,8545,0.01,3.68,,,0.019821
5172,authentic,6653,0.02,4.04,7747,0.01,3.74,,,0.019825
5173,brooks,6660,0.02,4.04,7792,0.01,3.74,,,0.019825
5174,transform,6751,0.02,4.04,7789,0.01,3.74,B1,verb,0.019825
5175,original,716,0.27,5.16,1550,0.11,4.68,B2,"adjective, noun",0.019829
5176,injuries,3371,0.05,4.44,4558,0.03,4.08,,,0.019837
5177,hamilton,4240,0.04,4.31,5412,0.02,3.97,,,0.019837
