word,cefr,pos,voice_url
bulk,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bul/bulk_/bulk__us_1.ogg
cafe,A1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/caf/cafe_/cafe__us_1.ogg
cannot,A1,modal verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/can/canno/cannot__us_1_rr.ogg
canvas,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/can/canva/canvas__us_1.ogg
capitalism,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cap/capit/capitalism__us_1.ogg
capitalist,C1,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cap/capit/capitalist__us_1.ogg
cargo,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/car/cargo/cargo__us_1.ogg
casino,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cas/casin/casino__us_1.ogg
casualty,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cas/casua/casualty__us_2_rr.ogg
catalogue,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cat/catal/catalogue__us_1_rr.ogg
cater,C1,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cat/cater/cater__us_1.ogg
centre,A1,"noun, verb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cen/centr/centre__us_1.ogg
chamber,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cha/chamb/chamber__us_1.ogg
characterize,C1,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cha/chara/characterize__us_1.ogg
charter,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cha/chart/charter__us_1.ogg
chronic,C1,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/chr/chron/chronic__us_1.ogg
circulate,C1,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cir/circu/circulate__us_1.ogg
circulation,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cir/circu/circulation__us_1.ogg
cite,B2,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cit/cite_/cite__us_1.ogg
civic,C1,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/civ/civic/civic__us_1.ogg
civilian,C1,"adjective, noun",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/civ/civil/civilian__us_1.ogg
civilization,B2,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/civ/civil/civilization__us_1.ogg
clarity,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cla/clari/clarity__us_1.ogg
clash,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cla/clash/clash__us_1.ogg
cleaning,,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cle/clean/cleaning__us_1.ogg
cling,C1,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cli/cling/cling__us_1.ogg
clinical,C1,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cli/clini/clinical__us_1.ogg
cluster,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/clu/clust/cluster__us_1.ogg
cognitive,C1,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cog/cogni/cognitive__us_1.ogg
collaborate,C1,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/col/colla/collaborate__us_1.ogg
collaboration,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/col/colla/collaboration__us_1.ogg
collective,C1,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/col/colle/collective__us_1.ogg
collision,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/col/colli/collision__us_1.ogg
colony,B2,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/col/colon/colony__us_1.ogg
colour,A1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/col/colou/colour__us_2.ogg
coloured,B1,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/col/colou/coloured__us_1.ogg
colourful,B2,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/col/colou/colourful__us_1.ogg
combat,C1,"noun, verb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/com/comba/combat__us_1.ogg
commence,C1,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/com/comme/commence__us_1.ogg
commentary,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/com/comme/commentary__us_1.ogg
commentator,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/com/comme/commentator__us_1.ogg
commissioner,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/com/commi/commissioner__us_1.ogg
commodity,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/com/commo/commodity__us_1.ogg
communist,C1,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/com/commu/communist__us_1.ogg
comparable,C1,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/com/compa/comparable__us_1.ogg
compel,C1,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/com/compe/compel__us_1.ogg
compelling,C1,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/com/compe/compelling__us_1.ogg
compliance,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/com/compl/compliance__us_1.ogg
complication,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/com/compl/complication__us_1.ogg
comply,C1,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/com/compl/comply__us_1.ogg
comprise,B2,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/com/compr/comprise__us_1.ogg
confer,C1,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/x/xco/xconf/xconfer__us_1.ogg
configuration,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/x/xco/xconf/xconfiguration__us_1.ogg
confrontation,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/x/xco/xconf/xconfrontation__us_1.ogg
congregation,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/x/xco/xcong/xcongregation__us_1.ogg
congressional,C1,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/x/xco/xcong/xcongressional__us_1_rr.ogg
connected,A2,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/x/xco/xconn/xconnected__us_2.ogg
connection,B1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/x/xco/xconn/xconnection__us_2.ogg
consecutive,C1,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/x/xco/xcons/xconsecutive__us_1.ogg
conserve,C1,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/x/xco/xcons/xconserve__us_1.ogg
consistency,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/x/xco/xcons/xconsistency__us_1.ogg
consistently,B2,adverb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/x/xco/xcons/xconsistently__us_1.ogg
consolidate,C1,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/x/xco/xcons/xconsolidate__us_1.ogg
conspiracy,B2,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/x/xco/xcons/xconspiracy__us_1.ogg
constituency,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/x/xco/xcons/xconstituency__us_1.ogg
constitutional,C1,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/x/xco/xcons/xconstitutional__us_1.ogg
