word,cefrj_cefr,ox5k_cefr,cefrj_pos,ox5k_pos,voice_url
annoy,A2,B1,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ann/annoy/annoy__us_1.ogg
annoying,A2,B1,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ann/annoy/annoying__us_3.ogg
annual,B1,B2,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ann/annua/annual__us_1.ogg
annually,B1,B2,adverb,adverb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ann/annua/annually__us_1.ogg
anonymous,B2,C1,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ano/anony/anonymous__us_1.ogg
another,A2,A1,pronoun,"determiner, pronoun",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ano/anoth/another__us_2.ogg
anxiety,B1,B2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/anx/anxie/anxiety__us_1.ogg
anxious,A2,B2,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/anx/anxio/anxious__us_1.ogg
any,A1,A2,pronoun,"adverb, determiner, pronoun",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/any/any__/any__us_1.ogg
anybody,A1,A2,pronoun,pronoun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/any/anybo/anybody__us_4_rr.ogg
apart,A2,B1,adverb,adverb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/apa/apart/apart__us_1.ogg
apartment,A2,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/apa/apart/apartment__us_1.ogg
apology,B1,B2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/apo/apolo/apology__us_1.ogg
apparent,B1,B2,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/app/appar/apparent__us_1.ogg
apparently,A2,B2,adverb,adverb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/app/appar/apparently__us_3.ogg
appetite,B1,C1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/app/appet/appetite__us_1.ogg
applaud,B1,C1,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/app/appla/applaud__us_1.ogg
appoint,B1,C1,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/app/appoi/appoint__us_1.ogg
appointment,A2,B1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/app/appoi/appointment__us_1.ogg
