word,cefrj_cefr,ox5k_cefr,cefrj_pos,ox5k_pos,voice_url
arrest,B1,B1,verb,"noun, verb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/arr/arres/arrest__us_1.ogg
arrival,B1,B1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/arr/arriv/arrival__us_3.ogg
arrive,A1,A1,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/arr/arriv/arrive__us_1.ogg
art,A1,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/art/art__/art__us_1.ogg
article,A1,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/art/artic/article__us_1.ogg
ask,A1,A1,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ask/ask__/ask__us_1.ogg
asleep,A2,A2,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/asl/aslee/asleep__us_2.ogg
assess,B2,B2,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ass/asses/assess__us_2.ogg
assessment,B2,B2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ass/asses/assessment__us_1.ogg
assignment,B1,B1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ass/assig/assignment__us_1.ogg
assist,B1,B1,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ass/assis/assist__us_1.ogg
assumption,B2,B2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ass/assum/assumption__us_1.ogg
assure,B2,B2,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ass/assur/assure__us_1.ogg
astonishing,B2,B2,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ast/aston/astonishing__us_1.ogg
at,A1,A1,preposition,preposition,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/at_/at__u/at__us_3_rr.ogg
athlete,A2,A2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ath/athle/athlete__us_1.ogg
atmosphere,B1,B1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/atm/atmos/atmosphere__us_2.ogg
attach,B1,B1,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/att/attac/attach__us_1.ogg
attack,A2,A2,verb,"noun, verb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/att/attac/attack__us_2.ogg
attention,A2,A2,noun,"exclamation, noun",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/att/atten/attention__us_1.ogg
attract,B1,B1,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/att/attra/attract__us_1.ogg
attraction,B1,B1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/att/attra/attraction__us_1.ogg
attractive,A2,A2,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/att/attra/attractive__us_2.ogg
audience,A2,A2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aud/audie/audience__us_1.ogg
august,A1,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aug/augus/august__us_1.ogg
aunt,A1,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aun/aunt_/aunt__us_1_rr.ogg
author,A2,A2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aut/autho/author__us_1.ogg
authority,B1,B1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aut/autho/authority__us_1_rr.ogg
autumn,A1,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aut/autum/autumn__us_3.ogg
average,A2,A2,noun,"adjective, noun, verb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ave/avera/average__us_2.ogg
avoid,A2,A2,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/avo/avoid/avoid__us_1.ogg
aware,B1,B1,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/awa/aware/aware__us_1.ogg
away,A1,A1,adverb,adverb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/awa/away_/away__us_1.ogg
awful,A2,A2,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/awf/awful/awful__us_2.ogg
baby,A1,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bab/baby_/baby__us_1.ogg
background,A2,A2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bac/backg/background__us_1.ogg
bad,A1,A1,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bad/bad__/bad__us_1.ogg
badge,B2,B2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bad/badge/badge__us_1.ogg
badly,A2,A2,adverb,adverb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bad/badly/badly__us_2.ogg
bag,A1,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bag/bag__/bag__us_1.ogg
balanced,B2,B2,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bal/balan/balanced__us_1.ogg
ball,A1,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bal/ball_/ball__us_1.ogg
ballet,B2,B2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bal/balle/ballet__us_3.ogg
banana,A1,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/ban/banan/banana__us_2.ogg
band,A1,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/ban/band_/band__us_1.ogg
bargain,B2,B2,verb,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bar/barga/bargain__us_1.ogg
barrier,B2,B2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bar/barri/barrier__us_2.ogg
base,B1,B1,verb,"noun, verb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bas/base_/base__us_1.ogg
basis,B1,B1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bas/basis/basis__us_2.ogg
bath,A1,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bat/bath_/bath__us_1.ogg
bathroom,A1,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bat/bathr/bathroom__us_1_rr.ogg
battle,B1,B1,noun,"noun, verb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bat/battl/battle__us_2.ogg
be,A1,A1,be-verb,"verb, auxiliary verb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/be_/be__u/be__us_1.ogg
beach,A1,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bea/beach/beach__us_1.ogg
bear,A2,A2,verb,"noun, verb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bea/bear_/bear__us_1.ogg
beautiful,A1,A1,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bea/beaut/beautiful__us_1.ogg
because,A1,A1,conjunction,conjunction,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bec/becau/because__us_2.ogg
become,A1,A1,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bec/becom/become__us_2.ogg
bed,A1,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bed/bed__/bed__us_2.ogg
bedroom,A1,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bed/bedro/bedroom__us_1_rr.ogg
