rank,word,pos,cefr,frequency,zipf
323,thanks,noun,A1,0.000269,5.43
324,video,noun,A1,0.000269,5.43
325,young,adjective,A1,0.000269,5.43
326,high school,noun,A2,0.000268,5.43
327,ago,adverb,A1,0.000263,5.42
328,social,adjective,A1,0.000263,5.42
329,talk,"noun, verb",A1,0.000263,5.42
330,last name,noun,A1,0.000261,5.42
331,court,noun,A2,0.000257,5.41
332,fact,noun,A2,0.000257,5.41
333,given,adjective,A2,0.000257,5.41
334,half,"adverb, determiner, noun, pronoun",A2,0.000257,5.41
335,hand,"noun, verb",A2,0.000257,5.41
336,level,"adjective, noun, verb",B2,0.000257,5.41
337,mind,"noun, verb",A2,0.000257,5.41
338,often,adverb,A1,0.000257,5.41
339,single,"adjective, noun",B1,0.000257,5.41
340,become,verb,A1,0.000251,5.4
341,body,noun,A1,0.000251,5.4
342,control,"noun, verb",B1,0.000251,5.4
343,death,noun,A2,0.000251,5.4
344,food,noun,A1,0.000251,5.4
345,guy,noun,A1,0.000251,5.4
346,office,noun,A1,0.000251,5.4
347,pay,"noun, verb",A1,0.000251,5.4
348,problem,noun,A1,0.000251,5.4
349,south,"adjective, adverb, noun",A2,0.000251,5.4
350,true,adjective,A1,0.000251,5.4
351,almost,adverb,A1,0.000245,5.39
352,history,noun,A1,0.000245,5.39
353,known,adjective,B2,0.000245,5.39
354,large,adjective,A1,0.000245,5.39
355,lost,adjective,A2,0.000245,5.39
356,'m,be-verb,A1,0.000245,5.39
357,mr./mr,noun,A1,0.000245,5.39
358,research,"noun, verb",B2,0.000245,5.39
359,room,"noun, verb",B1,0.000245,5.39
360,several,"determiner, pronoun",A2,0.000245,5.39
361,university,noun,A2,0.000245,5.39
362,win,"noun, verb",A1,0.000245,5.39
363,wrong,"adjective, adverb",A2,0.000245,5.39
364,along,"adverb, preposition",A2,0.00024,5.38
365,anyone,pronoun,A1,0.00024,5.38
366,else,adverb,A1,0.00024,5.38
367,girl,noun,A1,0.00024,5.38
368,matter,"noun, verb",A2,0.00024,5.38
369,pretty,"adjective, adverb",A2,0.00024,5.38
370,remember,verb,A1,0.00024,5.38
371,air,noun,A2,0.000234,5.37
372,bit,noun,A2,0.000234,5.37
373,friend,noun,A1,0.000234,5.37
374,hit,"noun, verb",A2,0.000234,5.37
375,nice,adjective,A1,0.000234,5.37
376,probably,adverb,A2,0.000234,5.37
377,understand,verb,A2,0.000234,5.37
378,yeah,adverb,A2,0.000234,5.37
379,class,noun,A1,0.000229,5.36
380,close,"adjective, verb",A1,0.000229,5.36
381,idea,noun,A1,0.000229,5.36
382,international,adjective,A2,0.000229,5.36
383,past,"adjective, adverb, preposition",A1,0.000229,5.36
384,possible,adjective,A2,0.000229,5.36
385,cause,"noun, verb",A2,0.000224,5.35
386,due,adjective,A1,0.000224,5.35
387,happy,adjective,A1,0.000224,5.35
388,human,"adjective, noun",B1,0.000224,5.35
389,move,"noun, verb",A2,0.000224,5.35
390,question,"noun, verb",B2,0.000224,5.35
391,series,noun,B1,0.000224,5.35
392,wait,"noun, verb",A1,0.000224,5.35
393,woman,noun,A1,0.000224,5.35
394,ask,verb,A1,0.000219,5.34
395,community,noun,B2,0.000219,5.34
396,data,noun,B2,0.000219,5.34
397,late,"adjective, adverb",A1,0.000219,5.34
398,leave,"noun, verb",A1,0.000219,5.34
399,north,"adjective, adverb, noun",A2,0.000219,5.34
400,saw,"noun, verb",B2,0.000219,5.34
401,special,adjective,A1,0.000219,5.34
402,watch,"noun, verb",A1,0.000219,5.34
403,either,"adverb, conjunction, determiner, pronoun",B1,0.000214,5.33
404,future,"adjective, noun",A1,0.000214,5.33
405,light,"adjective, noun, verb",B1,0.000214,5.33
406,low,"adjective, adverb",A2,0.000214,5.33
407,million,number,A2,0.000214,5.33
408,morning,noun,A1,0.000214,5.33
409,police,noun,A2,0.000214,5.33
410,short,"adjective, adverb",A1,0.000214,5.33
411,stay,"noun, verb",A1,0.000214,5.33
412,age,noun,A1,0.000209,5.32
413,buy,verb,A1,0.000209,5.32
